ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
1,007-0838,北海道,ホッカイドウ,札幌市東区,サッポロシヒガシク,北三十八条東,キタ３８ジョウヒガシ
2,007-0893,北海道,ホッカイドウ,札幌市東区,サッポロシヒガシク,中沼西三条,ナカヌマニシ０３ジョウ
3,003-0855,北海道,ホッカイドウ,札幌市白石区,サッポロシシロイシク,川北五条,カワキタ０５ジョウ
4,030-0133,青森県,アオモリケン,青森市,アオモリシ,雲谷,モヤ
5,036-8033,青森県,アオモリケン,弘前市,ヒロサキシ,徒町川端町,オカチマチカワバタチョウ
6,036-8530,青森県,アオモリケン,弘前市,ヒロサキシ,清原,キヨハラ
7,020-0133,岩手県,イワテケン,盛岡市,モリオカシ,青山,アオヤマ
8,020-8530,岩手県,イワテケン,盛岡市,モリオカシ,内丸,ウチマル
9,020-0883,岩手県,イワテケン,盛岡市,モリオカシ,志家町,シケチョウ
10,989-1764,宮城県,ミヤギケン,柴田郡柴田町,シバタグンシバタマチ,小成田,コナリタ
11,980-8411,宮城県,ミヤギケン,仙台市青葉区,センダイシアオバク,本町,ホンチョウ
12,983-0863,宮城県,ミヤギケン,仙台市宮城野区,センダイシミヤギノク,車町,クルママチ
13,010-1613,秋田県,アキタケン,秋田市,アキタシ,新屋朝日町,アラヤアサヒマチ
14,019-2632,秋田県,アキタケン,秋田市,アキタシ,河辺大張野,カワベオオバリノ
15,010-8502,秋田県,アキタケン,秋田市,アキタシ,手形学園町,テガタガクエンマチ
16,990-2383,山形県,ヤマガタケン,山形市,ヤマガタシ,芳沢,ヨシザワ
17,992-8501,山形県,ヤマガタケン,米沢市,ヨネザワシ,金池,カナイケ
18,992-0113,山形県,ヤマガタケン,米沢市,ヨネザワシ,長手,ナガテ
19,960-0261,福島県,フクシマケン,福島市,フクシマシ,飯坂町中野,イイザカマチナカノ
20,960-2195,福島県,フクシマケン,福島市,フクシマシ,庄野,ショウノ
21,960-8550,福島県,フクシマケン,福島市,フクシマシ,方木田,ホウキダ
22,311-1112,茨城県,イバラキケン,水戸市,ミトシ,川又町,カワマタチョウ
23,310-0851,茨城県,イバラキケン,水戸市,ミトシ,千波町,センバチョウ
24,310-0034,茨城県,イバラキケン,水戸市,ミトシ,緑町,ミドリチョウ
25,328-8588,栃木県,トチギケン,栃木市,トチギシ,平井町,ヒライチョウ
26,327-0006,栃木県,トチギケン,佐野市,サノシ,上台町,カミダイチョウ
27,327-0846,栃木県,トチギケン,佐野市,サノシ,若松町,ワカマツチョウ
28,379-2185,群馬県,グンマケン,前橋市,マエバシシ,小屋原町,コヤハラマチ
29,371-0817,群馬県,グンマケン,前橋市,マエバシシ,ぬで島町,ヌデジママチ
30,379-2136,群馬県,グンマケン,前橋市,マエバシシ,房丸町,ボウマルマチ
31,349-1158,埼玉県,サイタマケン,加須市,カゾシ,新利根,シントネ
32,367-0052,埼玉県,サイタマケン,本庄市,ホンジョウシ,銀座,ギンザ
33,355-0042,埼玉県,サイタマケン,東松山市,ヒガシマツヤマシ,今泉,イマイズミ
34,273-0039,千葉県,チバケン,船橋市,フナバシシ,印内,インナイ
35,294-0306,千葉県,チバケン,館山市,タテヤマシ,加賀名,カガナ
36,292-0815,千葉県,チバケン,木更津市,キサラヅシ,大久保,オオクボ
37,101-8305,東京都,トウキョウト,千代田区,チヨダク,神田駿河台,カンダスルガダイ
38,104-8581,東京都,トウキョウト,中央区,チュウオウク,勝どき,カチドキ
39,103-8255,東京都,トウキョウト,中央区,チュウオウク,日本橋,ニホンバシ
40,105-8301,東京都,トウキョウト,港区,ミナトク,東新橋,ヒガシシンバシ
41,107-8505,東京都,トウキョウト,港区,ミナトク,赤坂,アカサカ
42,229-1101,神奈川県,カナガワケン,相模原市,サガミハラシ,相原,アイハラ
43,238-0104,神奈川県,カナガワケン,三浦市,ミウラシ,南下浦町松輪,ミナミシタウラマチマツワ
44,243-0217,神奈川県,カナガワケン,厚木市,アツギシ,三田南,サンダミナミ
45,950-0329,新潟県,ニイガタケン,新潟市江南区,ニイガタシコウナンク,平賀,ヒラガ
46,956-0003,新潟県,ニイガタケン,新潟市秋葉区,ニイガタシアキハク,長割,オサワリ
47,950-1416,新潟県,ニイガタケン,新潟市南区,ニイガタシミナミク,西笠巻,ニシカサマキ
48,939-2461,富山県,トヤマケン,富山市,トヤマシ,八尾町高熊,ヤツオマチタカクマ
49,934-0099,富山県,トヤマケン,高岡市,タカオカシ,若葉町,ワカバチョウ
50,933-0909,富山県,トヤマケン,高岡市,タカオカシ,開発本町,カイホツホンマチ
51,927-1228,石川県,イシカワケン,珠洲市,スズシ,宝立町黒峰,ホウリュウマチクロミネ
52,922-0064,石川県,イシカワケン,加賀市,カガシ,大聖寺北片原町,ダイショウジキタカタハラマチ
53,925-8505,石川県,イシカワケン,羽咋市,ハクイシ,中央町,チュウオウマチ
54,910-8548,福井県,フクイケン,福井市,フクイシ,日之出,ヒノデ
55,914-0055,福井県,フクイケン,敦賀市,ツルガシ,鉄輪町,カナワチョウ
56,917-0241,福井県,フクイケン,小浜市,オバマシ,遠敷,オニュウ
