ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
1,060-0033,北海道,ホッカイドウ,札幌市中央区,サッポロシチュウオウク,北三条東,キタ０３ジョウヒガシ
2,060-0035,北海道,ホッカイドウ,札幌市中央区,サッポロシチュウオウク,北五条東,キタ０５ジョウヒガシ
3,064-0946,北海道,ホッカイドウ,札幌市中央区,サッポロシチュウオウク,双子山,フタゴヤマ
4,002-8074,北海道,ホッカイドウ,札幌市北区,サッポロシキタク,あいの里四条,アイノサト０４ジョウ
5,060-0807,北海道,ホッカイドウ,札幌市北区,サッポロシキタク,北七条西,キタ０７ジョウニシ
6,001-0024,北海道,ホッカイドウ,札幌市北区,サッポロシキタク,北二十四条西,キタ２４ジョウニシ
7,007-0838,北海道,ホッカイドウ,札幌市東区,サッポロシヒガシク,北三十八条東,キタ３８ジョウヒガシ
8,007-0893,北海道,ホッカイドウ,札幌市東区,サッポロシヒガシク,中沼西三条,ナカヌマニシ０３ジョウ
9,003-0855,北海道,ホッカイドウ,札幌市白石区,サッポロシシロイシク,川北五条,カワキタ０５ジョウ
10,005-0011,北海道,ホッカイドウ,札幌市南区,サッポロシミナミク,真駒内東町,マコマナイヒガシマチ
11,004-0065,北海道,ホッカイドウ,札幌市厚別区,サッポロシアツベツク,厚別西五条,アツベツニシ０５ジョウ
12,004-0844,北海道,ホッカイドウ,札幌市清田区,サッポロシキヨタク,清田四条,キヨタ０４ジョウ
13,040-0071,北海道,ホッカイドウ,函館市,ハコダテシ,追分町,オイワケチョウ
14,042-0912,北海道,ホッカイドウ,函館市,ハコダテシ,中野町,ナカノチョウ
15,047-0016,北海道,ホッカイドウ,小樽市,オタルシ,信香町,ノブカチョウ
16,051-0033,北海道,ホッカイドウ,室蘭市,ムロランシ,小橋内町,オハシナイチョウ
17,085-0244,北海道,ホッカイドウ,釧路市,クシロシ,阿寒町紀ノ丘,アカンチョウキノオカ
18,070-0056,北海道,ホッカイドウ,旭川市,アサヒカワシ,６条西,０６ジョウニシ
19,070-8018,北海道,ホッカイドウ,旭川市,アサヒカワシ,神居８条,カムイ０８ジョウ
20,079-8414,北海道,ホッカイドウ,旭川市,アサヒカワシ,永山４条,ナガヤマ０４ジョウ
21,030-0846,青森県,アオモリケン,青森市,アオモリシ,青葉,アオバ
22,030-0198,青森県,アオモリケン,青森市,アオモリシ,荒川,アラカワ
23,038-8550,青森県,アオモリケン,青森市,アオモリシ,篠田,シノダ
24,030-8510,青森県,アオモリケン,青森市,アオモリシ,長島,ナガシマ
25,038-0058,青森県,アオモリケン,青森市,アオモリシ,羽白,ハジロ
26,030-0133,青森県,アオモリケン,青森市,アオモリシ,雲谷,モヤ
27,036-8033,青森県,アオモリケン,弘前市,ヒロサキシ,徒町川端町,オカチマチカワバタチョウ
28,036-8530,青森県,アオモリケン,弘前市,ヒロサキシ,清原,キヨハラ
29,036-8225,青森県,アオモリケン,弘前市,ヒロサキシ,西ケ丘町,ニシガオカチョウ
30,036-8141,青森県,アオモリケン,弘前市,ヒロサキシ,松原東,マツバラヒガシ
31,020-0133,岩手県,イワテケン,盛岡市,モリオカシ,青山,アオヤマ
32,020-8530,岩手県,イワテケン,盛岡市,モリオカシ,内丸,ウチマル
33,020-0883,岩手県,イワテケン,盛岡市,モリオカシ,志家町,シケチョウ
34,028-4195,岩手県,イワテケン,盛岡市,モリオカシ,玉山,タマヤマ
35,020-0148,岩手県,イワテケン,盛岡市,モリオカシ,前潟,マエガタ
