ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
1,060-0035,北海道,ホッカイドウ,札幌市中央区,サッポロシチュウオウク,北五条東,キタ０５ジョウヒガシ
2,064-0946,北海道,ホッカイドウ,札幌市中央区,サッポロシチュウオウク,双子山,フタゴヤマ
3,002-8074,北海道,ホッカイドウ,札幌市北区,サッポロシキタク,あいの里四条,アイノサト０４ジョウ
4,030-0846,青森県,アオモリケン,青森市,アオモリシ,青葉,アオバ
5,030-0198,青森県,アオモリケン,青森市,アオモリシ,荒川,アラカワ
6,038-8550,青森県,アオモリケン,青森市,アオモリシ,篠田,シノダ
7,027-8503,岩手県,イワテケン,宮古市,ミヤコシ,太田,オオタ
8,027-0097,岩手県,イワテケン,宮古市,ミヤコシ,崎山,サキヤマ
9,027-0375,岩手県,イワテケン,宮古市,ミヤコシ,田老青野滝,タロウアオノタキ
10,980-8531,宮城県,ミヤギケン,仙台市青葉区,センダイシアオバク,一番町,イチバンチョウ
11,980-0812,宮城県,ミヤギケン,仙台市青葉区,センダイシアオバク,片平,カタヒラ
12,980-8565,宮城県,ミヤギケン,仙台市青葉区,センダイシアオバク,国分町,コクブンチョウ
13,018-3134,秋田県,アキタケン,能代市,ノシロシ,二ツ井町高関,フタツイマチタカセキ
14,013-0214,秋田県,アキタケン,横手市,ヨコテシ,雄物川町柏木,オモノガワマチカシワギ
15,013-0076,秋田県,アキタケン,横手市,ヨコテシ,杉目,スギメ
16,990-2214,山形県,ヤマガタケン,山形市,ヤマガタシ,青柳,アオヤギ
17,990-0045,山形県,ヤマガタケン,山形市,ヤマガタシ,桜町,サクラチョウ
18,990-8794,山形県,ヤマガタケン,山形市,ヤマガタシ,十日町,トウカマチ
19,965-0101,福島県,フクシマケン,会津若松市,アイヅワカマツシ,北会津町真宮,キタアイヅマチマミヤ
20,965-0016,福島県,フクシマケン,会津若松市,アイヅワカマツシ,中島町,ナカジママチ
21,963-0107,福島県,フクシマケン,郡山市,コオリヤマシ,安積,アサカ
22,300-0013,茨城県,イバラキケン,土浦市,ツチウラシ,神立町,カンダツマチ
23,306-0044,茨城県,イバラキケン,古河市,コガシ,新久田,アラクダ
24,306-0125,茨城県,イバラキケン,古河市,コガシ,仁連,ニレイ
25,321-0905,栃木県,トチギケン,宇都宮市,ウツノミヤシ,平出工業団地,ヒライデコウギョウダンチ
26,321-8555,栃木県,トチギケン,宇都宮市,ウツノミヤシ,陽東,ヨウトウ
27,326-0845,栃木県,トチギケン,足利市,アシカガシ,大前町,オオマエチョウ
28,370-8543,群馬県,グンマケン,高崎市,タカサキシ,栄町,サカエチョウ
29,370-3524,群馬県,グンマケン,高崎市,タカサキシ,中泉町,ナカイズミマチ
30,370-0016,群馬県,グンマケン,高崎市,タカサキシ,矢島町,ヤジママチ
31,359-1116,埼玉県,サイタマケン,所沢市,トコロザワシ,東町,ヒガシチョウ
32,330-8562,埼玉県,サイタマケン,さいたま市浦和区,サイタマシウラワク,高砂,タカサゴ
33,359-1115,埼玉県,サイタマケン,所沢市,トコロザワシ,御幸町,ミユキチョウ
34,261-0012,千葉県,チバケン,千葉市美浜区,チバシミハマク,磯辺,イソベ
35,261-8733,千葉県,チバケン,千葉市美浜区,チバシミハマク,真砂,マサゴ
36,288-0852,千葉県,チバケン,銚子市,チョウシシ,岡野台町,オカノダイチョウ
37,110-8681,東京都,トウキョウト,台東区,タイトウク,入谷,イリヤ
38,111-0021,東京都,トウキョウト,台東区,タイトウク,日本堤,ニホンヅツミ
39,130-8608,東京都,トウキョウト,墨田区,スミダク,業平,ナリヒラ
40,130-8554,東京都,トウキョウト,墨田区,スミダク,両国,リョウゴク
41,135-8481,東京都,トウキョウト,江東区,コウトウク,永代,エイタイ
42,252-1137,神奈川県,カナガワケン,綾瀬市,アヤセシ,寺尾台,テラオダイ
43,259-0155,神奈川県,カナガワケン,足柄上郡中井町,アシガラカミグンナカイマチ,松本,マツモト
44,259-0314,神奈川県,カナガワケン,足柄下郡湯河原町,アシガラシモグンユガワラマチ,宮上,ミヤカミ
45,950-0054,新潟県,ニイガタケン,新潟市東区,ニイガタシヒガシク,秋葉,アキバ
46,950-0822,新潟県,ニイガタケン,新潟市東区,ニイガタシヒガシク,新岡山,シンオカヤマ
47,951-8655,新潟県,ニイガタケン,新潟市中央区,ニイガタシチュウオウク,川岸町,カワギシチョウ
48,935-0335,富山県,トヤマケン,氷見市,ヒミシ,胡桃,クルミ
49,936-0853,富山県,トヤマケン,滑川市,ナメリカワシ,上梅沢,カミウメザワ
50,938-0084,富山県,トヤマケン,黒部市,クロベシ,生地芦崎,イクジアシザキ
51,920-0393,石川県,イシカワケン,金沢市,カナザワシ,松島,マツシマ
52,926-0821,石川県,イシカワケン,七尾市,ナナオシ,国分町,コクブマチ
53,923-0826,石川県,イシカワケン,小松市,コマツシ,希望丘,キボウガオカ
54,916-8515,福井県,フクイケン,鯖江市,サバエシ,三六町,サンロクチョウ
55,916-0053,福井県,フクイケン,鯖江市,サバエシ,日の出町,ヒノデチョウ
56,915-0882,福井県,フクイケン,越前市,エチゼンシ,上太田町,カミオオダチョウ
57,400-0856,山梨県,ヤマナシケン,甲府市,コウフシ,伊勢,イセ
58,403-0005,山梨県,ヤマナシケン,富士吉田市,フジヨシダシ,上吉田,カミヨシダ
59,402-0014,山梨県,ヤマナシケン,都留市,ツルシ,朝日馬場,アサヒババ
60,394-0052,長野県,ナガノケン,岡谷市,オカヤシ,西林,ニシバヤシ
61,395-0083,長野県,ナガノケン,飯田市,イイダシ,錦町,ニシキチョウ
62,382-0073,長野県,ナガノケン,須坂市,スザカシ,田の神町,タノカミマチ
63,500-8351,岐阜県,ギフケン,岐阜市,ギフシ,清本町,セイホンマチ
64,502-8567,岐阜県,ギフケン,岐阜市,ギフシ,長良,ナガラ
65,503-0807,岐阜県,ギフケン,大垣市,オオガキシ,今宿,イマジュク
66,431-1416,静岡県,シズオカケン,浜松市北区,ハママツシキタク,三ヶ日町釣,ミッカビチョウツリ
67,431-3532,静岡県,シズオカケン,浜松市天竜区,ハママツシテンリュウク,西藤平,ニシフジダイラ
68,410-0866,静岡県,シズオカケン,沼津市,ヌマヅシ,市道,イチミチ
69,453-0849,愛知県,アイチケン,名古屋市中村区,ナゴヤシナカムラク,稲西町,イナニシチョウ
70,460-8319,愛知県,アイチケン,名古屋市中区,ナゴヤシナカク,大須,オオス
71,466-8501,愛知県,アイチケン,名古屋市昭和区,ナゴヤシショウワク,円上町,エンジョウチョウ
72,518-0723,三重県,ミエケン,名張市,ナバリシ,木屋町,キヤマチ
73,519-3696,三重県,ミエケン,尾鷲市,オワセシ,中央町,チュウオウチョウ
74,519-1105,三重県,ミエケン,亀山市,カメヤマシ,関町鷲山,セキチョウワシヤマ
75,526-0804,滋賀県,シガケン,長浜市,ナガハマシ,加納町,カノウチョウ
76,523-0061,滋賀県,シガケン,近江八幡市,オウミハチマンシ,江頭町,エガシラチョウ
77,525-0007,滋賀県,シガケン,草津市,クサツシ,下寺町,シモデラチョウ
78,601-8125,京都府,キョウトフ,京都市南区,キョウトシミナミク,上鳥羽花名,カミトバハナナ
79,616-8162,京都府,キョウトフ,京都市右京区,キョウトシウキョウク,太秦蜂岡町,ウズマサハチオカチョウ
80,612-8071,京都府,キョウトフ,京都市伏見区,キョウトシフシミク,鍛冶屋町,カジヤマチ
81,556-8666,大阪府,オオサカフ,大阪市浪速区,オオサカシナニワク,湊町,ミナトマチ
82,533-0012,大阪府,オオサカフ,大阪市東淀川区,オオサカシヒガシヨドガワク,大道南,ダイドウミナミ
83,537-0012,大阪府,オオサカフ,大阪市東成区,オオサカシヒガシナリク,大今里,オオイマザト
84,660-0082,兵庫県,ヒョウゴケン,尼崎市,アマガサキシ,水明町,スイメイチョウ
85,674-0072,兵庫県,ヒョウゴケン,明石市,アカシシ,魚住町長坂寺,ウオズミチョウチョウハンジ
86,662-0883,兵庫県,ヒョウゴケン,西宮市,ニシノミヤシ,上ケ原九番町,ウエガハラ０９バンチョウ
87,632-0245,奈良県,ナラケン,奈良市,ナラシ,藺生町,イウチョウ
88,635-0064,奈良県,ナラケン,大和高田市,ヤマトタカダシ,栄町,サカエマチ
89,639-1160,奈良県,ナラケン,大和郡山市,ヤマトコオリヤマシ,北郡山町,キタコオリヤマチョウ
90,647-1752,和歌山県,ワカヤマケン,田辺市,タナベシ,本宮町切畑,ホングウチョウキリハタ
91,647-1214,和歌山県,ワカヤマケン,新宮市,シングウシ,熊野川町赤木,クマノガワチョウアカギ
92,649-6605,和歌山県,ワカヤマケン,紀の川市,キノカワシ,江川中,エカワナカ
93,680-0941,鳥取県,トットリケン,鳥取市,トットリシ,湖山町北,コヤマチョウキタ
94,683-0047,鳥取県,トットリケン,米子市,ヨナゴシ,祇園町,ギオンチョウ
95,682-0864,鳥取県,トットリケン,倉吉市,クラヨシシ,鍛冶町,カジマチ
96,699-2831,島根県,シマネケン,江津市,ゴウツシ,黒松町,クロマツチョウ
97,699-1111,島根県,シマネケン,雲南市,ウンナンシ,加茂町砂子原,カモチョウスナゴハラ
98,699-1831,島根県,シマネケン,仁多郡奥出雲町,ニタグンオクイズモチョウ,中村,ナカムラ
99,703-8212,岡山県,オカヤマケン,岡山市東区,オカヤマシヒガシク,古都宿,コズシュク
100,702-8046,岡山県,オカヤマケン,岡山市南区,オカヤマシミナミク,立川町,タチカワチョウ
